DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
VER,1,Red Bull Racing,1.0,2.0,Finished,19.0,2022,Austrian Grand Prix,Spielberg,11,0
HAM,44,Mercedes,8.0,3.0,Finished,15.0,2022,Austrian Grand Prix,Spielberg,11,0
RUS,63,Mercedes,4.0,4.0,Finished,12.0,2022,Austrian Grand Prix,Spielberg,11,0
OCO,31,Alpine,6.0,5.0,Finished,10.0,2022,Austrian Grand Prix,Spielberg,11,0
MSC,47,Haas F1 Team,9.0,6.0,+1 Lap,8.0,2022,Austrian Grand Prix,Spielberg,11,0
NOR,4,McLaren,10.0,7.0,+1 Lap,6.0,2022,Austrian Grand Prix,Spielberg,11,0
MAG,20,Haas F1 Team,7.0,8.0,+1 Lap,4.0,2022,Austrian Grand Prix,Spielberg,11,0
RIC,3,McLaren,11.0,9.0,+1 Lap,2.0,2022,Austrian Grand Prix,Spielberg,11,0
ALO,14,Alpine,19.0,10.0,+1 Lap,1.0,2022,Austrian Grand Prix,Spielberg,11,0
BOT,77,Alfa Romeo,,11.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
ALB,23,Williams,15.0,12.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
STR,18,Aston Martin,12.0,13.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
ZHO,24,Alfa Romeo,13.0,14.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
GAS,10,AlphaTauri,14.0,15.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
TSU,22,AlphaTauri,16.0,16.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
VET,5,Aston Martin,18.0,17.0,+1 Lap,0.0,2022,Austrian Grand Prix,Spielberg,11,0
SAI,55,Ferrari,3.0,18.0,Power Unit,0.0,2022,Austrian Grand Prix,Spielberg,11,0
LAT,6,Williams,17.0,19.0,Undertray,0.0,2022,Austrian Grand Prix,Spielberg,11,0
